id	fin_name	eng_name	category	word_class	aaltoprod	aalto85	cslb	mcrae	vinson	cmu	w2v_fin	w2v_eng	homonym_fin	homonym_eng	COMMENT
1	akatemia	academy	abstract	noun						academy	akatemia	academy			
4	harmonikka	accordion	instrument	noun			accordion	accordion		accordion	harmonikka	accordion			
7	tammenterho	acorn	plant	noun						acorn	tammenterho	acorn			
13	lentokone	airplane	vehicle	noun	lentokone		aeroplane	airplane	AIRPLANE_object	airplane	lento#kone	airplane			
15	käytävä	aisle	other	noun						aisle	käytävä	aisle			category
17	alkoholi	alcohol	drink	noun						alcohol	alkoholi	alcohol			
18	kuja	alley	place	noun						alley	kuja	alley			
19	alligaattori	alligator	animal	noun			alligator	alligator		alligator	alligaattori	alligator			
20	manteli	almond	fruit	noun						almond	manteli	almond			
21	ambulanssi	ambulance	vehicle	noun			ambulance	ambulance		ambulance	ambulanssi	ambulance			
22	ankkuri	anchor	tool	noun			anchor	anchor		anchor	ankkuri	anchor			
23	nilkka	ankle	bodypart	noun					ANKLE_object	ankle	nilkka	ankle			
24	muurahainen	ant	insect	noun			ant	ant		ant	muurahainen	ant			
25	antilooppi	antelope	animal	noun						antelope	antilooppi	antelope			
26	antiikki	antique	abstract	noun						antique	antiikki	antique			Category?
27	asunto	apartment	place	noun	asunto			apartment		apartment	asunto	apartment			
28	ihmisapina	ape	animal	noun						ape	ihmis#apina	ape			
30	omena	apple	fruit	noun	omena		apple	apple	APPLE_object	apple	omena	apple			
31	laite	appliance	appliance	noun						appliance	laite	appliance			
37	akvaario	aquarium	place	noun						aquarium	akvaario	aquarium			ambiguous
38	kaari	arch	other	noun						arch	kaari	arch			
40	käsivarsi	arm	bodypart	noun			arm		ARM_object	arm	käsi#varsi	arm			
43	käsinoja	armrest	furniture	noun						armrest	käsi#noja	armrest			
47	nuoli	arrow	tool	noun			arrow			arrow	nuoli	arrow			ambiguous category
48	artisokka	artichoke	vegetable	noun	artisokka		artichoke		ARTICHOKE_object	artichoke	artisokka	artichoke			
51	tuhkakuppi	ashtray	container	noun			ashtray	ashtray		ashtray	tuhka#kuppi	ashtray			
53	parsa	asparagus	vegetable	noun	parsa		asparagus	asparagus	ASPARAGUS_object	asparagus	parsa	asparagus			
54	asfaltti	asphalt	material	noun						asphalt	asfaltti	asphalt			
55	aspiriini	aspirin	medicine	noun			aspirin			aspirin	aspiriini	aspirin			
56	atomi	atom	other	noun						atom	atomi	atom			
57	ullakko	attic	place	noun						attic	ullakko	attic			
58	munakoiso	aubergine	vegetable	noun			aubergine	eggplant	EGGPLANT_object	eggplant	muna#koiso	aubergine			
59	audiotorio	auditorium	place	noun						auditorium	audiotorio	auditorium			
61	puistokatu	avenue	place	noun						avenue	puisto#katu	avenue			
63	kirves	axe	tool	noun	kirves		axe	axe	AXE_object	axe	kirves	axes			
64	akseli	axle	tool	noun						axle	akseli	axle			
65	vauva	baby	person	noun						baby	vauva	baby			
66	selkä	back	bodypart	noun	selkä	selkä				back	selkä	back			
68	reppu	backpack	accessory	noun						backpack	reppu	backpack			
69	pekoni	bacon	food	noun			bacon			bacon	pekoni	bacon			
73	bagel	bagel	food	noun						bagel	bagel	bagel			
76	pallo	ball	sport	noun	pallo	pallo	ball	ball		ball	pallo	ball			
77	ilmapallo	balloon	toy	noun			balloon	balloon		balloon	ilma#pallo	balloon			
78	banaani	banana	fruit	noun	banaani		banana	banana	BANANA_object	banana	banaani	banana			
79	bändi	band	social	noun						band	bändi	band			
80	side	bandage	medicine	noun						bandage	side	bandage			
82	pankki	bank	place	noun						bank	pankki	bank			
85	tuohi	bark	nature	noun						bark	tuohi	bark			
87	aitta	barn	place	noun				barn		barn	aitta	barn			
88	tynnyri	barrel	artifact	noun			barrel	barrel		barrel	tynnyri	barrel			
89	kerros	basement	place	noun				basement		basement	kellari#kerros	basement			
90	lavuaari	basin	furniture	noun			basin			basin	lavuaari	basin			
91	kori	basket	sport	noun			basket	basket		basket	kori	basket			
95	kylpytakki	bathrobe	clothing	noun						bathrobe	kylpy#takki	bathrobe			
96	kylpyamme	bathtub	furniture	noun				bathtub		bathtub	kylpy#amme	bathtub			
98	lahti	bay	nature	noun						bay	lahti	bay			
101	uimaranta	beach	nature	noun						beach	uima#ranta	beach			
102	nokka	beak	bodypart	noun					BEAK_object	beak	nokka	beak			
103	papu	bean	vegetable	noun	papu		bean	beans	BEAN_object	bean	papu	bean			
104	karhu	bear	animal	noun	karhu	karhu	bear	bear	BEAR_object	bear	karhu	bear			
105	parta	beard	bodypart	noun						beard	parta	beard			
108	sänky	bed	furniture	noun			bed	bed		bed	sänky	bed			
109	makuuhuone	bedroom	place	noun				bedroom		bedroom	makuu#huone	bedroom			
110	mehiläinen	bee	insect	noun			bee			bee	mehiläinen	bee			
111	naudanliha	beef	food	noun						beef	naudan#liha	beef			
113	olut	beer	drink	noun			beer			beer	olut	beer			
114	juurikas	beet	vegetable	noun				beets		beet	juurikas	beet			
115	kovakuoriainen	beetle	insect	noun			beetle	beetle		beetle	kovakuoriainen	beetle			
116	soittokello	bell	instrument	noun			bell			bell	soitto#kello	bell			
118	maha	belly	bodypart	noun						belly	maha	belly			
119	vyö	belt	clothing	noun			belt	belt	BELT_object	belt	vyö	belt			
120	penkki	bench	furniture	noun			bench	bench		bench	penkki	bench			
122	marja	berry	fruit	noun						berry	marja	berry			
123	virvoitusjuoma	beverage	food	noun						beverage	virvoitus#juoma	beverage			
124	raamattu	bible	art	noun						bible	raamattu	bible			
125	polkupyörä	bicycle	vehicle	noun	polkupyörä		bicycle	bike	BICYCLE_object	bicycle	polku#pyörä	bicycle			
127	mainostaulu	billboard	art	noun						billboard	mainos#taulu	billboard			
128	roskakori	bin	furniture	noun			bin	bin_(waste)		bin	roska#kori	bin			
129	koivu	birch	plant	noun			birch	birch		birch	koivu	birch			
130	lintu	bird	bird	noun					BIRD_object	bird	lintu	bird			
131	keksi	biscuit	food	noun			biscuit	biscuit		biscuit	keksi	biscuit			
134	terä	blade	tool	noun						blade	terä	blade			
135	huopa	blanket	artifact	noun						blanket	huopa	blanket			
141	veri	blood	bodypart	noun	veri					blood	veri	blood			
142	kukinta	blossom	plant	noun						blossom	kukinta	blossom			
143	pusero	blouse	clothing	noun	pusero		blouse	blouse	BLOUSE_object	blouse	pusero	blouse			
144	mustikka	blueberry	fruit	noun			blueberry	blueberry		blueberry	mustikka	blueberry			
145	sinikka	bluebird	bird	noun						bluebird	sinikka	bluebird			
147	liitutaulu	blackboard	furniture	noun				board_(black)		chalkboard	liitu#taulu	blackboard			
149	vene	boat	vehicle	noun	vene	vene	boat	boat	BOAT_object	boat	vene	boat			
150	ruumis	body	bodypart	noun						body	ruumis	body			
153	pommi	bomb	weapon	noun	pommi		bomb	bomb	BOMB_object	bomb	pommi	bomb			
156	luu	bone	bodypart	noun			bone			bone	luu	bone			
157	kirja	book	text	noun	kirja	kirja	book	book	BOOK_object	book	kirja	book			
160	saapas	boot	clothing	noun			boots	boots		boot	saapas	boot			
161	pullo	bottle	container	noun			bottle	bottle		bottle	pullo	bottle			
163	lohkare	boulder	nature	noun						boulder	lohkare	boulder			
165	kukkakimppu	bouquet	artifact	noun			bouquet	bouquet		bouquet	kukka#kimppu	bouquet			category
168	kulho	bowl	container	noun			bowl	bowl		bowl	kulho	bowl			
169	laatikko	box	container	noun	laatikko		box	box	BOX_object	box	laatikko	box			
170	poika	boy	person	noun	poika					boy	poika	boy			
171	rintaliivit	bra	clothing	noun			bra	bra		bra	rinta#liivit	bra			
172	rannekoru	bracelet	clothing	noun			bracelet	bracelet		bracelet	ranne#koru	bracelet			
173	aivot	brain	bodypart	noun						brain	aivot	brain			
174	jarru	brake	tool	noun						brake	jarru	brake			
175	haara	branch	abstract	noun						branch	haara	branch			category
177	leipä	0	food	noun			bread	bread		bread	leipä	bread			
180	aamiainen	breakfast	food	noun						breakfast	aamiainen	breakfast			
181	rinta	breast	bodypart	noun						breast	rinta	breast			
182	hengitys	breath	action	noun						breath	hengitys	breath			
184	tuulahdus	breeze	nature	noun						breeze	tuulahdus	breeze			
185	tiili	0	artifact	noun			brick	brick		brick	tiili	brick			
186	0	bridge	place	noun	silta	silta	bridge	bridge		bridge	silta	bridge			
187	salkku	briefcase	accessory	noun						briefcase	salkku	briefcase			
188	0	0	vegetable	noun	parsakaali		broccoli	broccoli	BROCCOLI_object	broccoli	parsa#kaali	broccoli			
191	0	broom	tool	noun	luuta		broom	broom	BROOM_object	broom	luuta	broom			
192	harja	brush	tool	noun	harja		brush	brush	BRUSH_object	brush	harja	brush			
195	kupla	bubble	other	noun						bubble	kupla	bubble			
196	ämpäri	0	container	noun			bucket	bucket		bucket	ämpäri	bucket			
199	puhveli	0	animal	noun			buffalo	buffalo		buffalo	puhveli	buffalo			
202	rakennus	building	place	noun				building		building	rakennus	building			
203	sonni	bull	animal	noun				bull		bull	sonni	bull			
204	puskutraktori	bulldozer	vehicle	noun						bulldozer	pusku#traktori	bulldozer			
205	luoti	0	weapon	noun			bullet	bullet		bullet	luoti	bullet			
207	puskuri	bumper	artifact	noun						bumper	puskuri	bumper			or vehicle
211	poltin	burner	appliance	noun						burner	poltin	burner			
214	0	0	vehicle	noun	bussi	bussi	bus	bus	BUS_object	bus	bussi	bus			
215	puska	bush	plant	noun						bush	puska	bush			
216	voi	0	food	noun			butter			butter	voi	butter			
218	perhonen	0	insect	noun			butterfly	butterfly		butterfly	perhonen	butterfly			
219	pakara	buttocks	bodypart	noun						buttocks	pakara	buttocks			
220	nappi	0	tool	noun			button			button	nappi	button			
223	kaali	cabbage	vegetable	noun	kaali		cabbage	cabbage	CABBAGE_object	cabbage	kaali	cabbage			
224	hytti	cabin	place	noun				cabin		cabin	hytti	cabin			ambiguous  translation (matkustamo, hytti tms)
226	kaktus	cactus	plant	noun						cactus	kaktus	cactus			
227	kahvila	cafe	place	noun						cafe	kahvila	cafe			
228	häkki	0	place	noun			cage	cage		cage	häkki	cage			
229	kakku	0	food	noun			cake	cake		cake	kakku	cake			
230	laskin	calculator	appliance	noun						calculator	laskin	calculator			
231	vasikka	0	animal	noun			calf	calf		calf	vasikka	calf			
234	0	0	animal	noun	kameli		camel	camel	CAMEL_object	camel	kameli	camel			
235	kamera	0	appliance	noun			camera			camera	kamera	camera			
237	0	camp	place	noun	leiri					camp	leiri	camp			
239	kanaali	canal	place	noun						canal	kanaali	canal			
241	syöpä	cancer	medicine	noun						cancer	syöpä	cancer			
242	kynttilä	0	artifact	noun			candle	candle		candle	kynttilä	candle			
243	karkki	candy	food	noun						candy	karkki	candy			
244	tykki	0	weapon	noun	tykki		cannon	cannon		cannon	tykki	cannon			
247	kantiini	canteen	place	noun						canteen	kantiini	canteen			
251	capitol	capitol	place	noun						capitol	capitol	capitol			
252	0	0	vehicle	noun	auto	auto	car	car	CAR_object	car	auto	car			
254	0	card	text	noun	kortti			card_(greeting)		card	kortti	card			
256	tarhaneilikka	0	plant	noun			carnation			carnation	neilikka	carnation			
258	kokolattiamatto	carpet	furniture	noun				carpet	CARPET_object	carpet	koko#lattia#matto	carpet			
260	0	0	vegetable	noun	porkkana		carrot	carrot	CARROT_object	carrot	porkkana	carrot			
263	kartonki	carton	tool	noun						carton	kartonki	carton			
264	käteinen	cash	other	noun						cash	käteinen	cash			
265	kipsi	cast	medicine	noun						cast	kipsi	cast			
268	0	0	animal	noun	kissa	kissa	cat	cat	CAT_object	cat	kissa	cat			
271	perhosentoukka	0	insect	noun			caterpillar	caterpillar		caterpillar	perhosen#toukka	caterpillar			
274	karja	cattle	animal	noun						cattle	karja	cattle			
275	0	0	vegetable	noun	kukkakaali		cauliflower	cauliflower	CAULIFLOWER_object	cauliflower	kukka#kaali	cauliflower			
276	luola	0	nature	noun						cave	luola	cave			
277	cd	0	artifact	noun						cd	cd	cd			
279	sisäkatto	0	furniture	noun					CEILING_object	ceiling	sisä#katto	ceiling			
280	selleri	0	vegetable	noun	selleri		celery	celery	CELERY_object	celery	selleri	celery			
283	kännykkä	0	appliance	noun						cellphone	kännykkä	cellphone			
284	sementti	0	material	noun						cement	sementti	cement			
285	hautausmaa	0	place	noun						cemetary	hautaus#maa	cemetary			
287	murot	0	food	noun						cereal	muro	cereal			
288	sertifikaatti	0	abstract	noun			certificate	certificate		certificate	sertifikaatti	certificate			
289	ketju	0	tool	noun			chain	chain		chain	ketju	chain			
291	0	0	furniture	noun	tuoli		chair	chair	CHAIR_object	chair	tuoli	chair			
292	liitu	0	tool	noun						chalk	liitu	chalk			
297	kanava	0	abstract	noun						channel	kanava	channel			ambiguous category
299	kappeli	0	place	noun				chapel		chapel	kappeli	chapel			
303	poski	0	bodypart	noun						cheek	poski	cheek			
304	juusto	0	food	noun			cheese	cheese		cheese	juusto	cheese			
306	0	0	fruit	noun	kirsikka		cherry	cherry	CHERRY_object	cherry	kirsikka	cherry			
308	kastanja	0	plant	noun			chestnut			chestnut	kastanja	chestnut			
310	kananpoika	0	bird	noun			chicken	chicken		chicken	kanan#poika	chicken			
311	0	child	person	noun	lapsi	lapsi				child	lapsi	child			
314	savupiippu	chimney	furniture	noun						chimney	savu#piippu	chimney			
316	leuka	0	bodypart	noun					CHIN_object	chin	leuka	chin			
317	siru	0	artifact	noun						chip	siru	chip			
321	taltta	0	tool	noun			chisel	chisel	CHISEL_object	chisel	taltta	chisel			
322	suklaa	0	food	noun			chocolate			chocolate	suklaa	chocolate			
324	syömäpuikot	0	tool	noun						chopsticks	syömäpuikko	chopsticks			
325	0	0	place	noun	kirkko	kirkko		church		church	kirkko	church			
326	siideri	0	food	noun			cider			cider	siideri	cider			
327	sikari	0	food	noun			cigar	cigar		cigar	sikari	cigar			
328	savuke	0	food	noun			cigarette	cigarette		cigarette	savuke	cigarette			
329	kaneli	0	food	noun						cinnamon	kaneli	cinnamon			
330	sirkus	0	social	noun						circus	sirkus	circus			
331	kaupunki	0	place	noun						city	kaupunki	city			
332	simpukka	0	waterlife	noun			clam	clam		clam	simpukka	clam			
340	jyrkänne	0	nature	noun						cliff	jyrkänne	cliff			
341	leikepöytä	0	tool	noun						clipboard	leike#pöytä	clipboard			
343	kello	0	appliance	noun			clock	clock		clock	kello	clock			
344	komero	0	furniture	noun				closet		closet	komero	closet			
345	kangas	0	material	noun						cloth	kangas	cloth			
346	vaatteet	0	clothing	noun						clothes	vaate	clothes			
347	vaatetus	0	clothing	noun						clothing	vaatetus	clothing			
348	0	0	nature	noun	pilvi	pilvi				cloud	pilvi	cloud			
349	apila	0	plant	noun						clover	apila	clover			
350	klubi	0	social	noun			club			club	klubi	club			
352	takki	coat	clothing	noun	takki		coat	coat	COAT_object	coat	takki	coat			
353	rannikko	coast	nature	noun						coast	rannikko	coast			
355	ohjaamo	0	place	noun						cockpit	ohjaamo	cockpit			
356	torakka	0	insect	noun			cockroach	cockroach		cockroach	torakka	cockroach			
357	cocktail	0	drink	noun						cocktail	cocktail	cocktail			
361	kahvi	0	food	noun			coffee			coffee	kahvi	coffee			
364	arkku	0	container	noun			coffin			coffin	arkku	coffin			
365	kolikko	0	artifact	noun			coin	coin		coin	kolikko	coin			
366	kola	0	drink	noun						cola	kola	cola			
368	kaulus	0	clothing	noun						collar	kaulus	collar			
369	korkeakoulu	0	place	noun						college	korkeakoulu	college			
370	sarake	0	abstract	noun						column	sarake	column			
371	0	comb	tool	noun	kampa	kampa	comb	comb	COMB_object	comb	kampa	comb			
376	tietokone	0	appliance	noun						computer	tieto#kone	computer			
380	maanosa	0	place	noun						continent	maan#osa	continent			
382	cookie	0	food	noun						cookie	cookie	cookie			
383	johto	0	appliance	noun						cord	johto	cord			
384	korkki	cork	artifact	noun			cork	cork		cork	korkki	cork			
386	maissi	0	food	noun	maissi		corn	corn	CORN_object	corn	maissi	corn			
387	eteinen	0	place	noun						corridor	eteinen	corridor			
388	mökki	0	place	noun				cottage		cottage	mökki	cottage			
389	puuvilla	0	material	noun						cotton	puu#villa	cotton			
390	sohva	0	furniture	noun				couch	COUCH_object	couch	sohva	couch			
394	keittiötaso	0	furniture	noun						countertop	keittiö#taso	countertop			
396	oikeus	0	place	noun						court	oikeus	court			
397	lehmä	0	animal	noun	lehmä		cow	cow	COW_object	cow	lehmä	cow			
402	kehto	0	furniture	noun			cradle			cradle	kehto	cradle			
403	karpalo	0	fruit	noun				cranberry		cranberry	karpalo	cranberry			
409	väriliitu	0	toy	noun			crayon	crayon		crayon	väri#liitu	crayon			
410	kerma	0	food	noun						cream	kerma	cream			
413	laulukaskas	0	insect	noun			cricket			cricket	laulu#kaskas	cricket			ambiguous
414	krokotiili	crocodile	animal	noun			crocodile	crocodile		crocodile	krokotiili	crocodile			
416	varis	crow	bird	noun				crow		crow	varis	crow			
418	ihmisjoukko	0	social	noun						crowd	ihmis#joukko	crowd			
419	kruunu	0	accessory	noun				crown		crown	kruunu	crown			
420	muru	crumb	food	noun						crumb	muru	crumb			
423	kristalli	0	material	noun						crystal	kristalli	crystal			
424	0	0	vegetable	noun	kurkku		cucumber	cucumber	CUCUMBER_object	cucumber	kurkku	cucumber			
425	kuppi	0	tool	noun			cup	cup		cup	kuppi	cup			
426	kaappi	0	furniture	noun			cupboard	cupboard		cupboard	kaappi	cupboard			
427	reunakiveys	curb	artifact	noun						curb	reuna#kiveys	curb			
435	tikari	dagger	weapon	noun			dagger	dagger	DAGGER_object	dagger	tikari	dagger			
436	päivänkakkara	daisy	plant	noun			daisy			daisy	päivän#kakkara	daisy			
437	tanssi	dance	sport	noun						dance	tanssi	dance			noun & verb
438	voikukka	dandelion	plant	noun			dandelion	dandelion		dandelion	voi#kukka	dandelion			
439	hilse	dandruff	medicine	noun						dandruff	hilse	dandruff			
440	tikka	dart	sport	noun						dart		dart			
443	pakka	deck	toy	noun						deck	pakka	deck			ambiguous
445	kauris	deer	animal	noun			deer	deer		deer	kauris	deer			
449	lommo	dent	other	noun						dent	lommo	dent			
450	deodorantti	deodorant	medicine	noun						deodorant	deodorantti	deodorant			
453	työpöytä	desk	furniture	noun			desk	desk		desk	työ#pöytä	desk			
456	timantti	diamond	material	noun						diamond	timantti	diamond			
457	vaippa	diaper	medicine	noun						diaper	vaippa	diaper			
459	sanakirja	dictionary	text	noun			dictionary			dictionary	sanakirja	dictionary			ambiguous
461	kymmensenttinen	dime	artifact	noun						dime	kymmen#senttinen	dime			
464	päivällinen	dinner	food	noun						dinner	päivällinen	dinner			
465	dinosaurus	dinosaur	animal	noun						dinosaur	dinosaurus	dinosaur			
466	lika	dirt	material	noun						dirt	lika	dirt			
467	tauti	disease	medicine	noun						disease	tauti	disease			
470	desinfiointiaine	disinfectant	medicine	noun						disinfectant	desinfiointi#aine	disinfectant			
471	oja	ditch	place	noun						ditch	oja	ditch			
473	telakka	dock	place	noun						dock	telakka	dock			
474	koira	dog	animal	noun	koira	koira	dog	dog	DOG_object	dog	koira	dog			
475	nukke	doll	toy	noun			doll	doll		doll	nukke	doll			
476	dollari	dollar	other	noun						dollar	dollari	dollar			
477	delfiini	dolphin	waterlife	noun			dolphin	dolphin		dolphin	delfiini	dolphin			
478	kupoli	dome	other	noun						dome	kupoli	dome			
481	aasi	donkey	animal	noun	aasi		donkey	donkey	DONKEY_object	donkey	aasi	donkey			
482	ovi	door	furniture	noun	ovi			door	DOOR_object	door	ovi	door			
484	oviaukko	doorway	furniture	noun						doorway	ovi#aukko	doorway			
485	täplä	dot	other	noun						dot	täplä	dot			
486	donitsi	doughnut	food	noun			doughnut			doughnut	donitsi	donut			
490	viemäri	drain	furniture	noun				drain		drain	lattia#kaivo	drain			noun & verb
495	mekko	dress	clothing	noun	mekko		dress	dress	DRESS_object	dress	mekko	dress			noun & verb
496	astiakaappi	dresser	furniture	noun			dresser	dresser		dresser	astia#kaappi	dresser			
500	juoda	drink	action	verb					DRINK_actionV	drink	juoda	drink			noun & verb
502	ajotie	driveway	place	noun						driveway	piha#tie	driveway			
505	huume	drug	medicine	noun						drug	huume	drug			
506	rumpu	drum	instrument	noun			drum	drum		drum	rumpu	drum			
507	ankka	duck	bird	noun	ankka	ankka	duck	duck	DUCK_object	duck	ankka	duck			
508	jäteastia	dumpster	container	noun						dumpster	jäte#astia	dumpster			
510	pöly	dust	material	noun						dust	pöly	dust			
512	kotka	eagle	bird	noun	kotka	kotka	eagle	eagle		eagle	kotka	eagle			
513	korva	ear	bodypart	noun	korva	korva	ear		EAR_object	ear	korva	ear			
515	kuulokkeet	earphones	appliance	noun						earphones	kuuloke	earphones			category
516	korvatulpat	earplugs	accessory	noun						earplugs	korva#tulppa	earplugs			category
517	korvakoru	earring	accessory	noun						earring	korva#koru	earring			
518	maapallo	earth	nature	noun	maapallo					earth	maa#pallo	earth			
519	kastemadot	earthworm	insect	noun						earthworms	kaste#mato	earthworm			
523	muna	egg	food	noun						egg	muna	egg			
525	kyynärpää	elbow	bodypart	noun					ELBOW_object	elbow	kyynärpää	elbow			
526	norsu	elephant	animal	noun	norsu		elephant	elephant	ELEPHANT_object	elephant	norsu	elephant			
527	hissi	elevator	vehicle	noun				elevator		elevator	hissi	elevator			
533	tietosanakirja	encyclopaedia	text	noun			encyclopaedia			encyclopedia	tieto#sanakirja	encyclopaedia			
535	veturi	engine	vehicle	noun	veturi					engine	veturi	engine			
537	sisäänkäynti	entrance	furniture	noun						entrance	sisäänkäynti	entrance			
539	kirjekuori	envelope	text	noun			envelope	envelope		envelope	kirje#kuori	envelope			
544	essee	essay	abstract	noun						essay	essee	essay			
553	silmä	eye	bodypart	noun	silmä	silmä	eye		EYE_object	eye	silmä	eye			
554	kulmakarva	eyebrow	bodypart	noun						eyebrow	kulma#karva	eyebrow			
555	silmäripsi	eyelash	bodypart	noun						eyelash	silmä#ripsi	eyelash			
556	tekstiili	fabric	material	noun						fabric	tekstiili	fabric			
557	kasvot	face	bodypart	noun					FACE_object	face	kasvot	face			
558	tehdas	factory	place	noun	tehdas	tehdas				factory	tehdas	factory			
562	tuuletin	fan	appliance	noun				fan_(appliance)		fan	tuuletin	fan			
563	maatila	farm	place	noun						farm	maa#tila	farm			
564	rasva	fat	medicine	noun						fat	rasva	fat			category
568	höyhen	feather	material	noun					FEATHER_object	feather	höyhen	feather			
570	jalkaterät	feet	bodypart	noun						feet		feet			
572	aita	fence	furniture	noun	aita		fence	fence	FENCE_object	fence	aita	fence			
577	filmi	film	text	noun						film	filmi	film			
580	sormi	finger	bodypart	noun	sormi	sormi	finger		FINGER_object	finger	sormi	finger			
581	sormenkynsi	fingernail	bodypart	noun						fingernail	kynsi	fingernail			
583	tuli	fire	nature	noun	tuli	tuli				fire	tuli	fire			
584	tulisija	fireplace	furniture	noun						fireplace	tuli#sija	fireplace			
585	kala	fish	waterlife	noun					FISH_object	fish	kala	fish			
587	lippu	flag	artifact	noun						flag	lippu	flag			
588	lipputanko	flagpole	artifact	noun						flagpole	lippu#tanko	flagpole			
589	liekki	flame	nature	noun					FLAME_actionN	flame	liekki	flame			
592	flanelli	flannel	material	noun			flannel			flannel	flanelli	flannel			
594	taskulamppu	flashlight	appliance	noun						flashlight	tasku#lamppu	flashlight			
595	kirppu	flea	insect	noun			flea	flea		flea	kirppu	flea			
596	liha	flesh	bodypart	noun						flesh		flesh			
600	lattia	floor	furniture	noun					FLOOR_object	floor	lattia	floor			
601	hammaslanka	floss	artifact	noun						floss	hammas#lanka	floss			
603	jauho	flour	food	noun			flour			flour	jauho	flour			
604	kukka	flower	plant	noun						flower	kukka	flower			
605	huilu	flute	instrument	noun			flute	flute		flute	huilu	flute			
606	lentää	flying	action	verb					FLY_actionV	fly	lentää	flying			noun & verb
607	sumu	fog	nature	noun						fog	sumu	fog			
609	ruoka	food	food	noun						food	ruoka	food			
610	jalkaterä	foot	bodypart	noun			foot			foot	jalka#terä	foot			
611	jalkapallo	football	sport	noun			football	football		football	jalka#pallo	football			
612	otsa	forehead	bodypart	noun						forehead	otsa	forehead			
613	metsä	forest	nature	noun						forest	metsä	forest			
614	haarukka	fork	tool	noun	haarukka		fork	fork	FORK_object	fork	haarukka	fork			
615	kettu	fox	animal	noun	kettu		fox	fox	FOX_object	fox	kettu	fox			
616	kehys	frame	artifact	noun						frame	kehys	frame			
617	pisamat	freckles	bodypart	noun						freckles	pisama	freckles			
619	pakastin	freezer	furniture	noun				freezer		freezer	pakastin	freezer			
623	ranskanperunat	fries	food	noun						fries	ranskis	fries			The colloquialism for the word
624	frisbee	frisbee	sport	noun			frisbee			frisbee	frisbee	frisbee			
625	sammakko	frog	animal	noun			frog	frog		frog	sammakko	frog			
628	hedelmä	fruit	fruit	noun						fruit	hedelmä	fruit			
630	kinuski	fudge	food	noun						fudge	kinuski	fudge			
631	polttoaine	fuel	material	noun	polttoaine					fuel	poltto#aine	fuel			
633	turkki	fur	clothing	noun					FUR_object	fur	turkki	fur			
634	huonekalu	furniture	furniture	noun						furniture	huone#kalu	furniture			
635	galleria	gallery	place	noun						gallery	galleria	gallery			
636	gallona	gallon	abstract	noun						gallon	gallona	gallon			
637	jengi	gang	social	noun						gang	jengi	gang			
639	jäte	garbage	material	noun						garbage	jäte	garbage			
640	puutarha	garden	place	noun						garden	puu#tarha	garden			
641	valkosipuli	garlic	vegetable	noun			garlic	garlic		garlic	valko#sipuli	garlic			
642	kaasu	gas	material	noun	kaasu					gas	kaasu	gas			
643	portti	gate	furniture	noun	portti		gate	gate	GATE_object	gate	portti	gate			
644	gaselli	gazelle	animal	noun						gazelle	gaselli	gazelle			
651	haamu	ghost	abstract	noun						ghost	haamu	ghost			
652	lahja	gift	artifact	noun						gift	lahja	gift			
654	kirahvi	giraffe	animal	noun	kirahvi		giraffe	giraffe	GIRAFFE_object	giraffe	kirahvi	giraffe			
655	tyttö	girl	person	noun						girl	tyttö	girl			
657	jäätikkö	glacier	nature	noun	jäätikkö					glacier	jäätikkö	glacier			
658	lasi	glass	material	noun						glass	lasi	glass			ambiguous
660	käsine	glove	clothing	noun	käsine		gloves	gloves	GLOVE_object	glove	käsine	glove			
663	liima	glue	material	noun			glue			glue	liima	glue			
665	vuohi	goat	animal	noun	vuohi		goat	goat	GOAT_object	goat	vuohi	goat			
666	pikari	goblet	container	noun						goblet	pikari	goblet			
668	kulta	gold	material	noun						gold	kulta	gold			
669	kultakala	goldfish	waterlife	noun			goldfish	goldfish		goldfish	kulta#kala	goldfish			
670	golf	golf	sport	noun						golf	golf	golf			
672	hanhi	goose	bird	noun			goose	goose		goose	hanhi	goose			
674	gorilla	gorilla	animal	noun			gorilla	gorilla		gorilla	gorilla	gorilla			
675	kaapu	gown	clothing	noun			gown	gown		gown	kaapu	gown			
676	viinirypäle	grape	fruit	noun	viinirypäle		grape	grape	GRAPE_object	grape	rypäle	grape			
677	greippi	grapefruit	fruit	noun	greippi		grapefruit	grapefruit	GRAPEFRUIT_object	grapefruit	greippi	grapefruit			typo in AaltoProd
678	kuvaaja	graph	abstract	noun						graph	kuvaaja	graph			
679	ruoho	grass	plant	noun						grass	ruoho	grass			
680	heinäsirkka	grasshopper	insect	noun			grasshopper	grasshopper		grasshopper	heinä#sirkka	grasshopper			
682	hauta	grave	place	noun						grave	hauta	grave			
683	sora	gravel	material	noun						gravel	sora	gravel			
684	paistinkastike	gravy	food	noun						gravy	paistin#kastike	gravy			
685	kasvihuone	greenhouse	place	noun						greenhouse	kasvi#huone	greenhouse			
691	nivuset	groin	bodypart	noun						groin	nivuset	groin			
692	maanpinta	ground	nature	noun						ground	maan#pinta	ground			
697	suojakaide	guardrail	furniture	noun						guardrail	suoja#kaide	guardrail			
699	kitara	guitar	instrument	noun	kitara		guitar	guitar		guitar	kitara	guitar			
700	kumi	gum	material	noun						gum	kumi	gum			ambiguous meaning
701	ase	gun	weapon	noun	ase		gun	gun	GUN_object	gun	ase	gun			
703	kuntosali	gym	place	noun						gym	kunto#sali	gym			
